X,Y,Z,section_name,source_layer,feature_type,confidence,use_as_hard,note,dist_F2_m,dist_F7_m,nearest
-401.8961239999626,-287.74141000024974,1645.20007399,XKT03,Z1,structure_hint,medium,0,,328.1893236705544,1829.2440864888345,F2
-401.42112399998587,-286.2859100000933,1640.39584241,XKT03,Z1,structure_hint,medium,0,,326.67280149879,1828.4687051202363,F2
-398.94132199999876,-278.68726000003517,1616.79898459,XKT03,Z1,structure_hint,medium,0,,318.75557719542496,1824.4362304472788,F2
-398.0440449999878,-275.9378100000322,1607.61439494,XKT03,Z1,structure_hint,medium,0,,315.8908561250642,1822.983580686922,F2
-397.14698099996895,-273.18902000039816,1598.853821,XKT03,Z1,structure_hint,medium,0,,313.0268223035072,1821.5347096442672,F2
-396.14440200000536,-270.1168999997899,1589.10416146,XKT03,Z1,structure_hint,medium,0,,309.82590336305617,1819.9194877964048,F2
-394.66682299994864,-265.5892799999565,1574.55027035,XKT03,Z1,structure_hint,medium,0,,305.1084622517368,1817.546867065936,F2
-393.29497299995273,-261.38563999999315,1561.40948052,XKT03,Z1,structure_hint,medium,0,,300.728583840639,1815.3524309729212,F2
-391.65922699996736,-256.3733599996194,1545.58396887,XKT03,Z1,structure_hint,medium,0,,295.50616342079616,1812.7464866563887,F2
-398.5520869999891,-277.49455999955535,1906.55627638,XKT03,Z2,structure_hint,medium,0,,317.5128730898812,1823.80565589957,F2
-397.8190900000045,-275.24849999975413,1899.19686752,XKT03,Z2,structure_hint,medium,0,,315.1726466748509,1822.619927119109,F2
-397.08604399999604,-273.0022900002077,1891.73930689,XKT03,Z2,structure_hint,medium,0,,312.83226396284704,1821.436412096236,F2
-388.47245300002396,-246.60840000025928,1803.52405869,XKT03,Z2,structure_hint,medium,0,,285.3318060138896,1807.7029400904005,F2
-387.59270799998194,-243.91267000045627,1794.39831271,XKT03,Z2,structure_hint,medium,0,,282.52305726730907,1806.318419532559,F2
-386.4198140000226,-240.31866999994963,1782.42695498,XKT03,Z2,structure_hint,medium,0,,278.7783783295954,1804.4778274174223,F2
-383.7441160000162,-232.11976000014693,1755.04981579,XKT03,Z2,structure_hint,medium,0,,270.2357276085198,1800.3015956413583,F2
-383.30416900001,-230.77166999969631,1750.33971513,XKT03,Z2,structure_hint,medium,0,,268.8311186121975,1799.617955175008,F2
-383.01101999997627,-229.873399999924,1747.49410337,XKT03,Z2,structure_hint,medium,0,,267.8951884219604,1799.16290269874,F2
-376.8542919999454,-211.00786000024527,1686.55843504,XKT03,Z2,structure_hint,medium,0,,248.2387080137796,1789.6943954869337,F2
-375.86490699998103,-207.97616999968886,1676.94222638,XKT03,Z2,structure_hint,medium,0,,245.079914063923,1788.1886714233774,F2
-374.47223800001666,-203.7087399996817,1663.00842545,XKT03,Z2,structure_hint,medium,0,,240.63357102336988,1786.0766972272113,F2
-373.5195150000509,-200.78938999958336,1653.78472518,XKT03,Z2,structure_hint,medium,0,,237.5918269592284,1784.6369617738414,F2
-372.1271920000436,-196.5230099996552,1640.53798673,XKT03,Z2,structure_hint,medium,0,,233.1465785292785,1782.540335420273,F2
-371.24759599997196,-193.82773999962956,1631.7066961,XKT03,Z2,structure_hint,medium,0,,230.33830887017425,1781.2203543554672,F2
-370.8444100000197,-192.5922900000587,1627.58540739,XKT03,Z2,structure_hint,medium,0,,229.0510625310961,1780.6164877273122,F2
-370.47808499995153,-191.46978999953717,1624.24923421,XKT03,Z2,structure_hint,medium,0,,227.88150163791096,1780.0684741761684,F2
-369.52541200001724,-188.55059999972582,1615.12368572,XKT03,Z2,structure_hint,medium,0,,224.83992389065372,1778.6461787095625,F2
