fault,depth_below_trace_m,Y_m,top_elevation_m,admissible_model_count,admissible_models,x_min_m,x_median_m,x_max_m,x_spread_m,x_single_plane_m,x_segmented_plane_m,x_quadratic_surface_m,x_trace_constrained_ruled_m
F2,100.0,14.459004499949515,1739.9452758896316,2,single_plane;segmented_plane,-650.9411004178692,-475.83647244772874,-300.7318444774719,350.20925594039727,-650.9411004178692,-300.7318444774719,,
F2,100.0,24.07290841639042,1744.2818257169197,2,single_plane;segmented_plane,-678.9093783624703,-508.00635305186734,-337.10332774126437,341.80605062120594,-678.9093783624703,-337.10332774126437,,
F2,100.0,33.686812333762646,1772.210836380848,2,single_plane;segmented_plane,-743.5984955187887,-576.1330314399675,-408.6675673611462,334.9309281576425,-743.5984955187887,-408.6675673611462,,
F2,100.0,43.30071625020355,1808.149213968018,2,single_plane;segmented_plane,-820.753911843407,-656.4666257894132,-492.1793397353031,328.5745721081039,-820.753911843407,-492.1793397353031,,
F2,100.0,52.914620166644454,1829.1328527336327,2,single_plane;segmented_plane,-874.632800827967,-714.0080017517321,-553.3832026754972,321.24959815246984,-874.632800827967,-553.3832026754972,,
F2,100.0,62.52852408308536,1826.5199952327584,2,single_plane;segmented_plane,-891.7845695976866,-735.586429614923,-579.3882896321593,312.39627996552736,-891.7845695976866,-579.3882896321593,,
F2,100.0,72.14242800045758,1818.3062157893928,2,single_plane;segmented_plane,-900.2186994802905,-748.6286043497967,-597.0385092193028,303.18019026098773,-900.2186994802905,-597.0385092193028,,
F2,100.0,81.75633191689849,1805.2871677678047,2,single_plane;segmented_plane,-901.1735970739974,-754.3471653334564,-607.5207335929153,293.652863481082,-901.1735970739974,-607.5207335929153,,
F2,100.0,91.3702358333394,1788.311892233965,2,single_plane;segmented_plane,-895.9707650708733,-754.0361190786352,-612.1014730863972,283.8692919844761,-895.9707650708733,-612.1014730863972,,
F2,100.0,100.9841397497803,1806.3176858197517,2,single_plane;segmented_plane,-945.2147423011484,-807.0390207504388,-668.8632991998456,276.3514431013027,-945.2147423011484,-668.8632991998456,,
F2,100.0,110.59804366715252,1824.0746448341804,2,single_plane;segmented_plane,-994.071417236235,-859.6626786305569,-725.2539400249952,268.81747721123975,-994.071417236235,-725.2539400249952,,
F2,100.0,120.21194758359343,1836.082258238566,2,single_plane;segmented_plane,-1033.9794370386517,-903.5238738339394,-773.0683106293436,260.91112640930805,-1033.9794370386517,-773.0683106293436,,
F2,100.0,129.82585150003433,1840.457801538293,2,single_plane;segmented_plane,-1062.0084069577279,-935.753183609806,-809.4979602618841,252.5104466958437,-1062.0084069577279,-809.4979602618841,,
F2,100.0,139.43975541647524,1835.4703130723035,2,single_plane;segmented_plane,-1075.4641457770485,-953.7124839045573,-831.9608220320661,243.50332374498248,-1075.4641457770485,-831.9608220320661,,
F2,100.0,149.05365933384746,1829.8170519516552,2,single_plane;segmented_plane,-1087.883632773417,-970.6570934123592,-853.4305540513014,234.4530787221156,-1087.883632773417,-853.4305540513014,,
